Remembering ,find,omit,Define,How,Label,Match,Name,Recall,Spell,Tell,What,When,Where,Which,Who,Why,Choose,List,Omit,Relate,Select,Show,omit
Understanding,interpret,Demonstrate,Extend,Illustrate,Infer,Outline,Rephrase,Summarize,Translate,discuss,Explain,Classify,Compare,Contrast,Explain,Show,Relate,Interpret
Applying ,Choose,Develop,Identify,Make use of ,Organize,Select,Apply,Build,Choose,Construct,Develop,Experiment with,Identify,Interview,Make use of,Model,Organize,Plan,Select,Solve,Utilize,calculate
Analysing,Assume,Categorize,Classify,Compare,Conclusion,Contrast,Analyze,Assume,Categorize,Classify,Compare,Conclusion,Contrast,Discover,Dissect,Distinguish,Divide,Examine,Function,Inference,Inspect,List,Motive,Relationships,Simplify,Survey,Take part in,Test for,Theme,Differentiate
Evaluating ,Appraise,Assess,Award,Choose,Compare,Conclude,Justify,Opinion,Prove,Rule on,Value,Agree,Appraise,Assess,Award,Choose,Compare,Conclude,Criteria,Criticize,Decide,Deduct,Defend,Determine,Disprove,Estimate,Evaluate,Explain,Importance,Influence,Interpret,Judge,Justify,Mark,Measure,Opinion,Perceive,Prioritize,Prove,Rate,Recommend,Rule on,Select,Support,Value
Creating,Build,Change,Choose,Combine,Compile,Compose,Construct,Create,Delete,Design,Develop,Discuss,Elaborate,Estimate,Formulate,Happen,Imagine,Improve,Invent,Make up,Maximize,Minimize,Modify,Original,Originate,Plan,Predict,Propose,Solution,Solve,Suppose,Test,Theory
